"name","hex","red","green","blue"
dark taupe,#7f684e,127,104,78
darkish purple,#751973,117,25,115
true green,#089404,8,148,4
coral pink,#ff6163,255,97,99
dark sage,#598556,89,133,86
dark slate blue,#214761,33,71,97
flat blue,#3c73a8,60,115,168
mushroom,#ba9e88,186,158,136
rich blue,#021bf9,2,27,249
dirty purple,#734a65,115,74,101
greenblue,#23c48b,35,196,139
icky green,#8fae22,143,174,34
light khaki,#e6f2a2,230,242,162
warm blue,#4b57db,75,87,219
dark hot pink,#d90166,217,1,102
deep sea blue,#015482,1,84,130
carmine,#9d0216,157,2,22
dark yellow green,#728f02,114,143,2
pale peach,#ffe5ad,255,229,173
plum purple,#4e0550,78,5,80
golden rod,#f9bc08,249,188,8
neon red,#ff073a,255,7,58
old pink,#c77986,199,121,134
very pale blue,#d6fffe,214,255,254
blood orange,#fe4b03,254,75,3
grapefruit,#fd5956,253,89,86
sand yellow,#fce166,252,225,102
clay brown,#b2713d,178,113,61
dark blue grey,#1f3b4d,31,59,77
flat green,#699d4c,105,157,76
light green blue,#56fca2,86,252,162
warm pink,#fb5581,251,85,129
dodger blue,#3e82fc,62,130,252
gross green,#a0bf16,160,191,22
ice,#d6fffa,214,255,250
metallic blue,#4f738e,79,115,142
pale salmon,#ffb19a,255,177,154
sap green,#5c8b15,92,139,21
algae,#54ac68,84,172,104
bluey grey,#89a0b0,137,160,176
greeny grey,#7ea07a,126,160,122
highlighter green,#1bfc06,27,252,6
light light blue,#cafffb,202,255,251
light mint,#b6ffbb,182,255,187
raw umber,#a75e09,167,94,9
vivid blue,#152eff,21,46,255
deep lavender,#8d5eb7,141,94,183
dull teal,#5f9e8f,95,158,143
light greenish blue,#63f7b4,99,247,180
mud green,#606602,96,102,2
pinky,#fc86aa,252,134,170
red wine,#8c0034,140,0,52
shit green,#758000,117,128,0
tan brown,#ab7e4c,171,126,76
darkblue,#030764,3,7,100
rosa,#fe86a4,254,134,164
lipstick,#d5174e,213,23,78
pale mauve,#fed0fc,254,208,252
claret,#680018,104,0,24
dandelion,#fedf08,254,223,8
orangered,#fe420f,254,66,15
poop green,#6f7c00,111,124,0
ruby,#ca0147,202,1,71
dark,#1b2431,27,36,49
greenish turquoise,#00fbb0,0,251,176
pastel red,#db5856,219,88,86
piss yellow,#ddd618,221,214,24
bright cyan,#41fdfe,65,253,254
dark coral,#cf524e,207,82,78
algae green,#21c36f,33,195,111
darkish red,#a90308,169,3,8
reddy brown,#6e1005,110,16,5
blush pink,#fe828c,254,130,140
camouflage green,#4b6113,75,97,19
lawn green,#4da409,77,164,9
putty,#beae8a,190,174,138
vibrant blue,#0339f8,3,57,248
dark sand,#a88f59,168,143,89
purple/blue,#5d21d0,93,33,208
saffron,#feb209,254,178,9
twilight,#4e518b,78,81,139
warm brown,#964e02,150,78,2
bluegrey,#85a3b2,133,163,178
bubble gum pink,#ff69af,255,105,175
duck egg blue,#c3fbf4,195,251,244
greenish cyan,#2afeb7,42,254,183
petrol,#005f6a,0,95,106
royal,#0c1793,12,23,147
butter,#ffff81,255,255,129
dusty orange,#f0833a,240,131,58
off yellow,#f1f33f,241,243,63
pale olive green,#b1d27b,177,210,123
orangish,#fc824a,252,130,74
leaf,#71aa34,113,170,52
light blue grey,#b7c9e2,183,201,226
dried blood,#4b0101,75,1,1
lightish purple,#a552e6,165,82,230
rusty red,#af2f0d,175,47,13
lavender blue,#8b88f8,139,136,248
light grass green,#9af764,154,247,100
light mint green,#a6fbb2,166,251,178
sunflower,#ffc512,255,197,18
velvet,#750851,117,8,81
brick orange,#c14a09,193,74,9
lightish red,#fe2f4a,254,47,74
pure blue,#0203e2,2,3,226
twilight blue,#0a437a,10,67,122
violet red,#a50055,165,0,85
yellowy brown,#ae8b0c,174,139,12
carnation,#fd798f,253,121,143
muddy yellow,#bfac05,191,172,5
dark seafoam green,#3eaf76,62,175,118
deep rose,#c74767,199,71,103
dusty red,#b9484e,185,72,78
grey/blue,#647d8e,100,125,142
lemon lime,#bffe28,191,254,40
purple/pink,#d725de,215,37,222
brown yellow,#b29705,178,151,5
purple brown,#673a3f,103,58,63
wisteria,#a87dc2,168,125,194
banana yellow,#fafe4b,250,254,75
lipstick red,#c0022f,192,2,47
water blue,#0e87cc,14,135,204
brown grey,#8d8468,141,132,104
vibrant purple,#ad03de,173,3,222
baby green,#8cff9e,140,255,158
barf green,#94ac02,148,172,2
eggshell blue,#c4fff7,196,255,247
sandy yellow,#fdee73,253,238,115
cool green,#33b864,51,184,100
pale,#fff9d0,255,249,208
blue/grey,#758da3,117,141,163
hot magenta,#f504c9,245,4,201
greyblue,#77a1b5,119,161,181
purpley,#8756e4,135,86,228
baby shit green,#889717,136,151,23
brownish pink,#c27e79,194,126,121
dark aquamarine,#017371,1,115,113
diarrhea,#9f8303,159,131,3
light mustard,#f7d560,247,213,96
pale sky blue,#bdf6fe,189,246,254
turtle green,#75b84f,117,184,79
bright olive,#9cbb04,156,187,4
dark grey blue,#29465b,41,70,91
greeny brown,#696006,105,96,6
lemon green,#adf802,173,248,2
light periwinkle,#c1c6fc,193,198,252
seaweed green,#35ad6b,53,173,107
sunshine yellow,#fffd37,255,253,55
ugly purple,#a442a0,164,66,160
medium pink,#f36196,243,97,150
puke brown,#947706,148,119,6
very light pink,#fff4f2,255,244,242
viridian,#1e9167,30,145,103
bile,#b5c306,181,195,6
faded yellow,#feff7f,254,255,127
very pale green,#cffdbc,207,253,188
vibrant green,#0add08,10,221,8
bright lime,#87fd05,135,253,5
spearmint,#1ef876,30,248,118
light aquamarine,#7bfdc7,123,253,199
light sage,#bcecac,188,236,172
yellowgreen,#bbf90f,187,249,15
baby poo,#ab9004,171,144,4
dark seafoam,#1fb57a,31,181,122
deep teal,#00555a,0,85,90
heather,#a484ac,164,132,172
rust orange,#c45508,196,85,8
dirty blue,#3f829d,63,130,157
fern green,#548d44,84,141,68
bright lilac,#c95efb,201,94,251
weird green,#3ae57f,58,229,127
peacock blue,#016795,1,103,149
avocado green,#87a922,135,169,34
faded orange,#f0944d,240,148,77
grape purple,#5d1451,93,20,81
hot green,#25ff29,37,255,41
lime yellow,#d0fe1d,208,254,29
mango,#ffa62b,255,166,43
shamrock,#01b44c,1,180,76
bubblegum,#ff6cb5,255,108,181
purplish brown,#6b4247,107,66,71
vomit yellow,#c7c10c,199,193,12
pale cyan,#b7fffa,183,255,250
key lime,#aeff6e,174,255,110
tomato red,#ec2d01,236,45,1
lightgreen,#76ff7b,118,255,123
merlot,#730039,115,0,57
night blue,#040348,4,3,72
purpleish pink,#df4ec8,223,78,200
apple,#6ecb3c,110,203,60
baby poop green,#8f9805,143,152,5
green apple,#5edc1f,94,220,31
heliotrope,#d94ff5,217,79,245
yellow/green,#c8fd3d,200,253,61
almost black,#070d0d,7,13,13
cool blue,#4984b8,73,132,184
leafy green,#51b73b,81,183,59
mustard brown,#ac7e04,172,126,4
dusk,#4e5481,78,84,129
dull brown,#876e4b,135,110,75
frog green,#58bc08,88,188,8
vivid green,#2fef10,47,239,16
bright light green,#2dfe54,45,254,84
fluro green,#0aff02,10,255,2
kiwi,#9cef43,156,239,67
seaweed,#18d17b,24,209,123
navy green,#35530a,53,83,10
ultramarine blue,#1805db,24,5,219
iris,#6258c4,98,88,196
pastel orange,#ff964f,255,150,79
yellowish orange,#ffab0f,255,171,15
perrywinkle,#8f8ce7,143,140,231
tealish,#24bca8,36,188,168
dark plum,#3f012c,63,1,44
pear,#cbf85f,203,248,95
pinkish orange,#ff724c,255,114,76
midnight purple,#280137,40,1,55
light urple,#b36ff6,179,111,246
dark mint,#48c072,72,192,114
greenish tan,#bccb7a,188,203,122
light burgundy,#a8415b,168,65,91
turquoise blue,#06b1c4,6,177,196
ugly pink,#cd7584,205,117,132
sandy,#f1da7a,241,218,122
electric pink,#ff0490,255,4,144
muted purple,#805b87,128,91,135
mid green,#50a747,80,167,71
greyish,#a8a495,168,164,149
neon yellow,#cfff04,207,255,4
banana,#ffff7e,255,255,126
carnation pink,#ff7fa7,255,127,167
tomato,#ef4026,239,64,38
sea,#3c9992,60,153,146
muddy brown,#886806,136,104,6
turquoise green,#04f489,4,244,137
buff,#fef69e,254,246,158
fawn,#cfaf7b,207,175,123
muted blue,#3b719f,59,113,159
pale rose,#fdc1c5,253,193,197
dark mint green,#20c073,32,192,115
amethyst,#9b5fc0,155,95,192
blue/green,#0f9b8e,15,155,142
chestnut,#742802,116,40,2
sick green,#9db92c,157,185,44
pea,#a4bf20,164,191,32
rusty orange,#cd5909,205,89,9
stone,#ada587,173,165,135
rose red,#be013c,190,1,60
pale aqua,#b8ffeb,184,255,235
deep orange,#dc4d01,220,77,1
earth,#a2653e,162,101,62
mossy green,#638b27,99,139,39
grassy green,#419c03,65,156,3
pale lime green,#b1ff65,177,255,101
light grey blue,#9dbcd4,157,188,212
pale grey,#fdfdfe,253,253,254
asparagus,#77ab56,119,171,86
blueberry,#464196,70,65,150
purple red,#990147,153,1,71
pale lime,#befd73,190,253,115
greenish teal,#32bf84,50,191,132
caramel,#af6f09,175,111,9
deep magenta,#a0025c,160,2,92
light peach,#ffd8b1,255,216,177
milk chocolate,#7f4e1e,127,78,30
ocher,#bf9b0c,191,155,12
off green,#6ba353,107,163,83
purply pink,#f075e6,240,117,230
lightblue,#7bc8f6,123,200,246
dusky blue,#475f94,71,95,148
golden,#f5bf03,245,191,3
light beige,#fffeb6,255,254,182
butter yellow,#fffd74,255,253,116
dusky purple,#895b7b,137,91,123
french blue,#436bad,67,107,173
ugly yellow,#d0c101,208,193,1
greeny yellow,#c6f808,198,248,8
orangish red,#f43605,244,54,5
shamrock green,#02c14d,2,193,77
orangish brown,#b25f03,178,95,3
tree green,#2a7e19,42,126,25
deep violet,#490648,73,6,72
gunmetal,#536267,83,98,103
blue/purple,#5a06ef,90,6,239
cherry,#cf0234,207,2,52
sandy brown,#c4a661,196,166,97
warm grey,#978a84,151,138,132
dark indigo,#1f0954,31,9,84
midnight,#03012d,3,1,45
bluey green,#2bb179,43,177,121
grey pink,#c3909b,195,144,155
soft purple,#a66fb5,166,111,181
blood,#770001,119,0,1
brown red,#922b05,146,43,5
medium grey,#7d7f7c,125,127,124
berry,#990f4b,153,15,75
poo,#8f7303,143,115,3
purpley pink,#c83cb9,200,60,185
light salmon,#fea993,254,169,147
snot,#acbb0d,172,187,13
easter purple,#c071fe,192,113,254
light yellow green,#ccfd7f,204,253,127
dark navy blue,#00022e,0,2,46
drab,#828344,130,131,68
light rose,#ffc5cb,255,197,203
rouge,#ab1239,171,18,57
purplish red,#b0054b,176,5,75
slime green,#99cc04,153,204,4
baby poop,#937c00,147,124,0
irish green,#019529,1,149,41
pink/purple,#ef1de7,239,29,231
dark navy,#000435,0,4,53
greeny blue,#42b395,66,179,149
light plum,#9d5783,157,87,131
pinkish grey,#c8aca9,200,172,169
dirty orange,#c87606,200,118,6
rust red,#aa2704,170,39,4
pale lilac,#e4cbff,228,203,255
orangey red,#fa4224,250,66,36
primary blue,#0804f9,8,4,249
kermit green,#5cb200,92,178,0
brownish purple,#76424e,118,66,78
murky green,#6c7a0e,108,122,14
wheat,#fbdd7e,251,221,126
very dark purple,#2a0134,42,1,52
bottle green,#044a05,4,74,5
watermelon,#fd4659,253,70,89
deep sky blue,#0d75f8,13,117,248
fire engine red,#fe0002,254,0,2
yellow ochre,#cb9d06,203,157,6
pumpkin orange,#fb7d07,251,125,7
pale olive,#b9cc81,185,204,129
light lilac,#edc8ff,237,200,255
lightish green,#61e160,97,225,96
carolina blue,#8ab8fe,138,184,254
mulberry,#920a4e,146,10,78
shocking pink,#fe02a2,254,2,162
auburn,#9a3001,154,48,1
bright lime green,#65fe08,101,254,8
celadon,#befdb7,190,253,183
pinkish brown,#b17261,177,114,97
poo brown,#885f01,136,95,1
bright sky blue,#02ccfe,2,204,254
celery,#c1fd95,193,253,149
dirt brown,#836539,131,101,57
strawberry,#fb2943,251,41,67
dark lime,#84b701,132,183,1
copper,#b66325,182,99,37
medium brown,#7f5112,127,81,18
muted green,#5fa052,95,160,82
robin's egg,#6dedfd,109,237,253
bright aqua,#0bf9ea,11,249,234
bright lavender,#c760ff,199,96,255
ivory,#ffffcb,255,255,203
very light purple,#f6cefc,246,206,252
light navy,#155084,21,80,132
pink red,#f5054f,245,5,79
olive brown,#645403,100,84,3
poop brown,#7a5901,122,89,1
mustard green,#a8b504,168,181,4
ocean green,#3d9973,61,153,115
very dark blue,#000133,0,1,51
dusty green,#76a973,118,169,115
light navy blue,#2e5a88,46,90,136
minty green,#0bf77d,11,247,125
adobe,#bd6c48,189,108,72
barney,#ac1db8,172,29,184
jade green,#2baf6a,43,175,106
bright light blue,#26f7fd,38,247,253
light lime,#aefd6c,174,253,108
dark khaki,#9b8f55,155,143,85
orange yellow,#ffad01,255,173,1
ocre,#c69c04,198,156,4
maize,#f4d054,244,208,84
faded pink,#de9dac,222,157,172
british racing green,#05480d,5,72,13
sandstone,#c9ae74,201,174,116
mud brown,#60460f,96,70,15
light sea green,#98f6b0,152,246,176
robin egg blue,#8af1fe,138,241,254
aqua marine,#2ee8bb,46,232,187
dark sea green,#11875d,17,135,93
soft pink,#fdb0c0,253,176,192
orangey brown,#b16002,177,96,2
cherry red,#f7022a,247,2,42
burnt yellow,#d5ab09,213,171,9
brownish grey,#86775f,134,119,95
camel,#c69f59,198,159,89
purplish grey,#7a687f,122,104,127
marine,#042e60,4,46,96
greyish pink,#c88d94,200,141,148
pale turquoise,#a5fbd5,165,251,213
pastel yellow,#fffe71,255,254,113
bluey purple,#6241c7,98,65,199
canary yellow,#fffe40,255,254,64
faded red,#d3494e,211,73,78
sepia,#985e2b,152,94,43
coffee,#a6814c,166,129,76
bright magenta,#ff08e8,255,8,232
mocha,#9d7651,157,118,81
ecru,#feffca,254,255,202
purpleish,#98568d,152,86,141
cranberry,#9e003a,158,0,58
darkish green,#287c37,40,124,55
brown orange,#b96902,185,105,2
dusky rose,#ba6873,186,104,115
melon,#ff7855,255,120,85
sickly green,#94b21c,148,178,28
silver,#c5c9c7,197,201,199
purply blue,#661aee,102,26,238
purpleish blue,#6140ef,97,64,239
hospital green,#9be5aa,155,229,170
shit brown,#7b5804,123,88,4
mid blue,#276ab3,39,106,179
amber,#feb308,254,179,8
easter green,#8cfd7e,140,253,126
soft blue,#6488ea,100,136,234
cerulean blue,#056eee,5,110,238
golden brown,#b27a01,178,122,1
bright turquoise,#0ffef9,15,254,249
red pink,#fa2a55,250,42,85
red purple,#820747,130,7,71
greyish brown,#7a6a4f,122,106,79
vermillion,#f4320c,244,50,12
russet,#a13905,161,57,5
steel grey,#6f828a,111,130,138
lighter purple,#a55af4,165,90,244
bright violet,#ad0afd,173,10,253
prussian blue,#004577,0,69,119
slate green,#658d6d,101,141,109
dirty pink,#ca7b80,202,123,128
dark blue green,#005249,0,82,73
pine,#2b5d34,43,93,52
yellowy green,#bff128,191,241,40
dark gold,#b59410,181,148,16
bluish,#2976bb,41,118,187
darkish blue,#014182,1,65,130
dull red,#bb3f3f,187,63,63
pinky red,#fc2647,252,38,71
bronze,#a87900,168,121,0
pale teal,#82cbb2,130,203,178
military green,#667c3e,102,124,62
barbie pink,#fe46a5,254,70,165
bubblegum pink,#fe83cc,254,131,204
pea soup green,#94a617,148,166,23
dark mustard,#a88905,168,137,5
shit,#7f5f00,127,95,0
medium purple,#9e43a2,158,67,162
very dark green,#062e03,6,46,3
dirt,#8a6e45,138,110,69
dusky pink,#cc7a8b,204,122,139
red violet,#9e0168,158,1,104
lemon yellow,#fdff38,253,255,56
pistachio,#c0fa8b,192,250,139
dull yellow,#eedc5b,238,220,91
dark lime green,#7ebd01,126,189,1
denim blue,#3b5b92,59,91,146
teal blue,#01889f,1,136,159
lightish blue,#3d7afd,61,122,253
purpley blue,#5f34e7,95,52,231
light indigo,#6d5acf,109,90,207
swamp green,#748500,116,133,0
brown green,#706c11,112,108,17
dark maroon,#3c0008,60,0,8
hot purple,#cb00f5,203,0,245
dark forest green,#002d04,0,45,4
faded blue,#658cbb,101,140,187
drab green,#749551,116,149,81
light lime green,#b9ff66,185,255,102
snot green,#9dc100,157,193,0
yellowish,#faee66,250,238,102
light blue green,#7efbb3,126,251,179
bordeaux,#7b002c,123,0,44
light mauve,#c292a1,194,146,161
ocean,#017b92,1,123,146
marigold,#fcc006,252,192,6
muddy green,#657432,101,116,50
dull orange,#d8863b,216,134,59
steel,#738595,115,133,149
electric purple,#aa23ff,170,35,255
fluorescent green,#08ff08,8,255,8
yellowish brown,#9b7a01,155,122,1
blush,#f29e8e,242,158,142
soft green,#6fc276,111,194,118
bright orange,#ff5b00,255,91,0
lemon,#fdff52,253,255,82
purple grey,#866f85,134,111,133
acid green,#8ffe09,143,254,9
pale lavender,#eecffe,238,207,254
violet blue,#510ac9,81,10,201
light forest green,#4f9153,79,145,83
burnt red,#9f2305,159,35,5
khaki green,#728639,114,134,57
cerise,#de0c62,222,12,98
faded purple,#916e99,145,110,153
apricot,#ffb16d,255,177,109
dark olive green,#3c4d03,60,77,3
grey brown,#7f7053,127,112,83
green grey,#77926f,119,146,111
true blue,#010fcc,1,15,204
pale violet,#ceaefa,206,174,250
periwinkle blue,#8f99fb,143,153,251
light sky blue,#c6fcff,198,252,255
blurple,#5539cc,85,57,204
green brown,#544e03,84,78,3
bluegreen,#017a79,1,122,121
bright teal,#01f9c6,1,249,198
brownish yellow,#c9b003,201,176,3
pea soup,#929901,146,153,1
forest,#0b5509,11,85,9
barney purple,#a00498,160,4,152
ultramarine,#2000b1,32,0,177
purplish,#94568c,148,86,140
puke yellow,#c2be0e,194,190,14
bluish grey,#748b97,116,139,151
dark periwinkle,#665fd1,102,95,209
dark lilac,#9c6da5,156,109,165
reddish,#c44240,196,66,64
light maroon,#a24857,162,72,87
dusty purple,#825f87,130,95,135
terra cotta,#c9643b,201,100,59
avocado,#90b134,144,177,52
marine blue,#01386a,1,56,106
teal green,#25a36f,37,163,111
slate grey,#59656d,89,101,109
lighter green,#75fd63,117,253,99
electric green,#21fc0d,33,252,13
dusty blue,#5a86ad,90,134,173
golden yellow,#fec615,254,198,21
bright yellow,#fffd01,255,253,1
light lavender,#dfc5fe,223,197,254
umber,#b26400,178,100,0
poop,#7f5e00,127,94,0
dark peach,#de7e5d,222,126,93
jungle green,#048243,4,130,67
eggshell,#ffffd4,255,255,212
denim,#3b638c,59,99,140
yellow brown,#b79400,183,148,0
dull purple,#84597e,132,89,126
chocolate brown,#411900,65,25,0
wine red,#7b0323,123,3,35
neon blue,#04d9ff,4,217,255
dirty green,#667e2c,102,126,44
light tan,#fbeeac,251,238,172
ice blue,#d7fffe,215,255,254
cadet blue,#4e7496,78,116,150
dark mauve,#874c62,135,76,98
very light blue,#d5ffff,213,255,255
grey purple,#826d8c,130,109,140
pastel pink,#ffbacd,255,186,205
very light green,#d1ffbd,209,255,189
dark sky blue,#448ee4,68,142,228
evergreen,#05472a,5,71,42
dull pink,#d5869d,213,134,157
aubergine,#3d0734,61,7,52
mahogany,#4a0100,74,1,0
reddish orange,#f8481c,248,72,28
deep green,#02590f,2,89,15
vomit green,#89a203,137,162,3
purple pink,#e03fd8,224,63,216
dusty pink,#d58a94,213,138,148
faded green,#7bb274,123,178,116
camo green,#526525,82,101,37
pinky purple,#c94cbe,201,76,190
pink purple,#db4bda,219,75,218
brownish red,#9e3623,158,54,35
dark rose,#b5485d,181,72,93
mud,#735c12,115,92,18
brownish,#9c6d57,156,109,87
emerald green,#028f1e,2,143,30
pale brown,#b1916e,177,145,110
dull blue,#49759c,73,117,156
burnt umber,#a0450e,160,69,14
medium green,#39ad48,57,173,72
clay,#b66a50,182,106,80
light aqua,#8cffdb,140,255,219
light olive green,#a4be5c,164,190,92
brownish orange,#cb7723,203,119,35
dark aqua,#05696b,5,105,107
purplish pink,#ce5dae,206,93,174
dark salmon,#c85a53,200,90,83
greenish grey,#96ae8d,150,174,141
jade,#1fa774,31,167,116
ugly green,#7a9703,122,151,3
dark beige,#ac9362,172,147,98
emerald,#01a049,1,160,73
pale red,#d9544d,217,84,77
light magenta,#fa5ff7,250,95,247
sky,#82cafc,130,202,252
light cyan,#acfffc,172,255,252
yellow orange,#fcb001,252,176,1
reddish purple,#910951,145,9,81
reddish pink,#fe2c54,254,44,84
orchid,#c875c4,200,117,196
dirty yellow,#cdc50a,205,197,10
orange red,#fd411e,253,65,30
deep red,#9a0200,154,2,0
orange brown,#be6400,190,100,0
cobalt blue,#030aa7,3,10,167
neon pink,#fe019a,254,1,154
rose pink,#f7879a,247,135,154
greyish purple,#887191,136,113,145
raspberry,#b00149,176,1,73
aqua green,#12e193,18,225,147
salmon pink,#fe7b7c,254,123,124
tangerine,#ff9408,255,148,8
brownish green,#6a6e09,106,110,9
red brown,#8b2e16,139,46,22
greenish brown,#696112,105,97,18
pumpkin,#e17701,225,119,1
pine green,#0a481e,10,72,30
charcoal,#343837,52,56,55
baby pink,#ffb7ce,255,183,206
cornflower,#6a79f7,106,121,247
blue violet,#5d06e9,93,6,233
chocolate,#3d1c02,61,28,2
greyish green,#82a67d,130,166,125
scarlet,#be0119,190,1,25
green yellow,#c9ff27,201,255,39
dark olive,#373e02,55,62,2
sienna,#a9561e,169,86,30
pastel purple,#caa0ff,202,160,255
terracotta,#ca6641,202,102,65
aqua blue,#02d8e9,2,216,233
sage green,#88b378,136,179,120
blood red,#980002,152,0,2
deep pink,#cb0162,203,1,98
grass,#5cac2d,92,172,45
moss,#769958,118,153,88
pastel blue,#a2bffe,162,191,254
bluish green,#10a674,16,166,116
green blue,#06b48b,6,180,139
dark tan,#af884a,175,136,74
greenish blue,#0b8b87,11,139,135
pale orange,#ffa756,255,167,86
vomit,#a2a415,162,164,21
forrest green,#154406,21,68,6
dark lavender,#856798,133,103,152
dark violet,#34013f,52,1,63
purple blue,#632de9,99,45,233
dark cyan,#0a888a,10,136,138
olive drab,#6f7632,111,118,50
pinkish,#d46a7e,212,106,126
cobalt,#1e488f,30,72,143
neon purple,#bc13fe,188,19,254
light turquoise,#7ef4cc,126,244,204
apple green,#76cd26,118,205,38
dull green,#74a662,116,166,98
wine,#80013f,128,1,63
powder blue,#b1d1fc,177,209,252
off white,#ffffe4,255,255,228
electric blue,#0652ff,6,82,255
dark turquoise,#045c5a,4,92,90
blue purple,#5729ce,87,41,206
azure,#069af3,6,154,243
bright red,#ff000d,255,0,13
pinkish red,#f10c45,241,12,69
cornflower blue,#5170d7,81,112,215
light olive,#acbf69,172,191,105
grape,#6c3461,108,52,97
greyish blue,#5e819d,94,129,157
